id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
BJ15599,A65,,A65,GL,2022,4/3/2022,SN,La langue de Barbarie ,R,99.7,223,76.8,,20.1,F,ad summer ,5555555888,Senegal,,La Somone,2/4/2019,AD,,SAFRING,unknown,,,,,
CV83752,B07,,B07,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,106.6,227,77,,20.9,F,ad summer ,5555555488,,,,,,,,unknown,,,,,
CV83753,B08,,B08,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,116,238,81.2,,20.3,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83754,B93,,B93,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,118.4,238,81.4,,21.4,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83755,B99,,B99,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,95.5,234,80.7,,20.4,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83756,A44,,A44,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,96.1,232,78,,20.3,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83757,B41,,B41,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,94.3,230,77.8,,20.8,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83758,A10,,A10,GL,2022,4/3/2022,SN,La langue de Barbarie ,L,91.7,231,77.2,,19.2,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
Ring AC,ANBA,Left: 38/DB,A53,GR,2022,4/3/2022,SN,La langue de Barbarie ,R,101.6,230,78.1,,19.5,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,1/7/2014,HY,8,Steve Newton,LIL,SR94938 lost,03/05/2022 + June 2023,"Inish Island colony, Lady's Island Lake (Ireland)",Edward Stubbings,
Ring AC,A53,Right: AN/BA,B06,GL,2022,4/3/2022,SN,La langue de Barbarie ,R,120.4,230,76.7,,,F,ad summer ,5555555888,Ireland,ROC,Rockabill,4/7/2018,HY,4,Steve Newton,ROC,,23/05/2022,Rockabill (Ireland),Steve Newton,
SR94387,87BD,Left: 87/BD,,,2022,4/3/2022,SN,La langue de Barbarie ,R,118.6,238,81.4,,21.1,M,ad summer ,5555558888,Ireland,LIL,Lady's Island Lake,26/06/2013,HY,9,Steve Newton,LIL,,,,,
SR94465,65BX,Left: 65/BX,,,2022,4/3/2022,SN,La langue de Barbarie ,R,100.1,234,79.5,,20.4,M,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,17/06/2014,HY,8,Steve Newton,LIL,,,,,
CV83759,A06,,A06,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,132.3,230,80.6,,21.8,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83760,A05,,A05,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,131.7,235,76.7,,21.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83761,A08,,A08,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,125.7,230,79.5,,20.8,F,ad summer ,5555888888,,,,,,,,unknown,,,,,
CV83762,A16,,A16,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,110.4,239,77.2,,19.4,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83763,A98,,A98,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,113.1,232,79.3,,20.7,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83764,A95,,A95,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,112.5,238,76.9,,21,M,ad summer ,5555588888,,,,,,,,unknown,,,,,
CV83765,A88,,A88,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,118.3,239,82.8,,21,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83766,B17,,B17,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,118.5,234,78.6,,18.9,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83767,A91,,A91,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,116.6,240,80.1,,21.5,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83768,A12,,A12,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,112.7,245,78.2,,20,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83769,A13,,A13,GL,2022,4/4/2022,SN,La langue de Barbarie ,L,122.3,237,82.9,,20.3,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
